measurement_pk,acclimation_pk,specification_date
TRAMEA022300,TRAACC000009,
TRAMEA022301,TRAACC000009,
TRAMEA022302,TRAACC000009,
TRAMEA022303,TRAACC000009,
TRAMEA022304,TRAACC000009,
TRAMEA022305,TRAACC000009,
TRAMEA022306,TRAACC000009,
TRAMEA022307,TRAACC000009,
TRAMEA022308,TRAACC000009,
TRAMEA022309,TRAACC000009,
TRAMEA022310,TRAACC000009,
TRAMEA022311,TRAACC000009,
TRAMEA022312,TRAACC000009,
TRAMEA022313,TRAACC000009,
TRAMEA022314,TRAACC000009,
TRAMEA022315,TRAACC000009,
TRAMEA022316,TRAACC000009,
TRAMEA022317,TRAACC000009,
TRAMEA022318,TRAACC000009,
TRAMEA022319,TRAACC000009,
TRAMEA022320,TRAACC000009,
TRAMEA022321,TRAACC000009,
TRAMEA022322,TRAACC000009,
TRAMEA022323,TRAACC000009,
TRAMEA022324,TRAACC000009,
TRAMEA022325,TRAACC000009,
TRAMEA022326,TRAACC000009,
TRAMEA022327,TRAACC000009,
TRAMEA022328,TRAACC000009,
TRAMEA022329,TRAACC000009,
TRAMEA022330,TRAACC000009,
TRAMEA022331,TRAACC000009,
TRAMEA022332,TRAACC000009,
TRAMEA022333,TRAACC000009,
TRAMEA022334,TRAACC000009,
TRAMEA022335,TRAACC000009,
TRAMEA022336,TRAACC000009,
TRAMEA022337,TRAACC000009,
TRAMEA022338,TRAACC000009,
TRAMEA022339,TRAACC000009,
TRAMEA022340,TRAACC000009,
TRAMEA022341,TRAACC000009,
TRAMEA022342,TRAACC000009,
TRAMEA022343,TRAACC000009,
TRAMEA022344,TRAACC000009,
TRAMEA022345,TRAACC000009,
TRAMEA022346,TRAACC000009,
TRAMEA022347,TRAACC000009,
TRAMEA022348,TRAACC000009,
TRAMEA022349,TRAACC000009,
TRAMEA022350,TRAACC000009,
TRAMEA022351,TRAACC000009,
TRAMEA022352,TRAACC000009,
TRAMEA022353,TRAACC000009,
TRAMEA022354,TRAACC000009,
TRAMEA022355,TRAACC000009,
TRAMEA022356,TRAACC000009,
TRAMEA022357,TRAACC000009,
TRAMEA022358,TRAACC000009,
TRAMEA022359,TRAACC000009,
TRAMEA022360,TRAACC000009,
TRAMEA022361,TRAACC000009,
TRAMEA022362,TRAACC000009,
TRAMEA022363,TRAACC000009,
TRAMEA022364,TRAACC000009,
TRAMEA022365,TRAACC000009,
TRAMEA022366,TRAACC000009,
TRAMEA022367,TRAACC000009,
TRAMEA022368,TRAACC000009,
TRAMEA022369,TRAACC000009,
TRAMEA022370,TRAACC000009,
TRAMEA022371,TRAACC000009,
TRAMEA022372,TRAACC000009,
TRAMEA022373,TRAACC000009,
TRAMEA022374,TRAACC000009,
TRAMEA022375,TRAACC000009,
TRAMEA022376,TRAACC000009,
TRAMEA022377,TRAACC000009,
TRAMEA022378,TRAACC000009,
TRAMEA022379,TRAACC000009,
TRAMEA022380,TRAACC000009,
TRAMEA022381,TRAACC000009,
TRAMEA022382,TRAACC000009,
TRAMEA022383,TRAACC000009,
TRAMEA022384,TRAACC000009,
TRAMEA022385,TRAACC000009,
TRAMEA022386,TRAACC000009,
TRAMEA022387,TRAACC000009,
TRAMEA022388,TRAACC000009,
TRAMEA022389,TRAACC000009,
TRAMEA022390,TRAACC000009,
TRAMEA022391,TRAACC000009,
TRAMEA022392,TRAACC000009,
TRAMEA022393,TRAACC000009,
TRAMEA022394,TRAACC000009,
TRAMEA022395,TRAACC000009,
TRAMEA022396,TRAACC000009,
TRAMEA022397,TRAACC000009,
TRAMEA022398,TRAACC000009,
TRAMEA022399,TRAACC000009,
TRAMEA022400,TRAACC000009,
TRAMEA022401,TRAACC000009,
TRAMEA022402,TRAACC000009,
TRAMEA022403,TRAACC000009,
TRAMEA022404,TRAACC000009,
TRAMEA022405,TRAACC000009,
TRAMEA022406,TRAACC000009,
TRAMEA022407,TRAACC000009,
TRAMEA022408,TRAACC000009,
TRAMEA022409,TRAACC000009,
TRAMEA022410,TRAACC000009,
TRAMEA022411,TRAACC000009,
TRAMEA022412,TRAACC000009,
TRAMEA022413,TRAACC000009,
TRAMEA022414,TRAACC000009,
TRAMEA022415,TRAACC000009,
TRAMEA022416,TRAACC000009,
TRAMEA022417,TRAACC000009,
TRAMEA022418,TRAACC000009,
TRAMEA022419,TRAACC000009,
TRAMEA022420,TRAACC000009,
TRAMEA022421,TRAACC000009,
TRAMEA022422,TRAACC000009,
TRAMEA022423,TRAACC000009,
TRAMEA022424,TRAACC000009,
TRAMEA022425,TRAACC000009,
TRAMEA022426,TRAACC000009,
TRAMEA022427,TRAACC000009,
TRAMEA022428,TRAACC000009,
TRAMEA022429,TRAACC000009,
TRAMEA022430,TRAACC000009,
TRAMEA022431,TRAACC000009,
TRAMEA022432,TRAACC000009,
TRAMEA022433,TRAACC000009,
TRAMEA022434,TRAACC000009,
TRAMEA022435,TRAACC000009,
TRAMEA022436,TRAACC000009,
TRAMEA022437,TRAACC000009,
TRAMEA022438,TRAACC000009,
TRAMEA022439,TRAACC000009,
TRAMEA022440,TRAACC000009,
TRAMEA022441,TRAACC000009,
TRAMEA022442,TRAACC000009,
TRAMEA022443,TRAACC000009,
TRAMEA022444,TRAACC000009,
TRAMEA022445,TRAACC000009,
TRAMEA022446,TRAACC000009,
TRAMEA022447,TRAACC000009,
TRAMEA022448,TRAACC000009,
TRAMEA022449,TRAACC000009,
TRAMEA022450,TRAACC000009,
TRAMEA022451,TRAACC000009,
TRAMEA022452,TRAACC000009,
TRAMEA022453,TRAACC000009,
TRAMEA022454,TRAACC000009,
TRAMEA022455,TRAACC000009,
TRAMEA022456,TRAACC000009,
TRAMEA022457,TRAACC000009,
TRAMEA022458,TRAACC000009,
TRAMEA022459,TRAACC000009,
TRAMEA022460,TRAACC000009,
TRAMEA022461,TRAACC000009,
TRAMEA022462,TRAACC000009,
TRAMEA022463,TRAACC000009,
TRAMEA022464,TRAACC000009,
TRAMEA022465,TRAACC000009,
TRAMEA022466,TRAACC000009,
TRAMEA022467,TRAACC000009,
TRAMEA022468,TRAACC000009,
TRAMEA022469,TRAACC000009,
TRAMEA022470,TRAACC000009,
TRAMEA022471,TRAACC000009,
TRAMEA022472,TRAACC000009,
TRAMEA022473,TRAACC000009,
TRAMEA022474,TRAACC000009,
TRAMEA022475,TRAACC000009,
TRAMEA022476,TRAACC000009,
TRAMEA022477,TRAACC000009,
TRAMEA022478,TRAACC000009,
TRAMEA022479,TRAACC000009,
TRAMEA022480,TRAACC000009,
TRAMEA022481,TRAACC000009,
TRAMEA022482,TRAACC000009,
TRAMEA022483,TRAACC000009,
TRAMEA022484,TRAACC000009,
TRAMEA022485,TRAACC000009,
TRAMEA022486,TRAACC000009,
TRAMEA022487,TRAACC000009,
TRAMEA022488,TRAACC000009,
TRAMEA022489,TRAACC000009,
TRAMEA022490,TRAACC000009,
TRAMEA022491,TRAACC000009,
TRAMEA022492,TRAACC000009,
TRAMEA022493,TRAACC000009,
TRAMEA022494,TRAACC000009,
TRAMEA022495,TRAACC000009,
TRAMEA022496,TRAACC000009,
TRAMEA022497,TRAACC000009,
TRAMEA022498,TRAACC000009,
TRAMEA022499,TRAACC000009,
TRAMEA022500,TRAACC000009,
TRAMEA022501,TRAACC000009,
TRAMEA022502,TRAACC000009,
TRAMEA022503,TRAACC000009,
TRAMEA022504,TRAACC000009,
TRAMEA022505,TRAACC000009,
TRAMEA022506,TRAACC000009,
TRAMEA022507,TRAACC000009,
TRAMEA022508,TRAACC000009,
TRAMEA022509,TRAACC000009,
TRAMEA022510,TRAACC000009,
TRAMEA022511,TRAACC000009,
TRAMEA022512,TRAACC000009,
TRAMEA022513,TRAACC000009,
TRAMEA022514,TRAACC000009,
TRAMEA022515,TRAACC000009,
TRAMEA022516,TRAACC000009,
TRAMEA022517,TRAACC000009,
TRAMEA022518,TRAACC000009,
TRAMEA022519,TRAACC000009,
TRAMEA022520,TRAACC000009,
TRAMEA022521,TRAACC000009,
TRAMEA022522,TRAACC000009,
TRAMEA022523,TRAACC000009,
TRAMEA022524,TRAACC000009,
TRAMEA022525,TRAACC000009,
TRAMEA022526,TRAACC000009,
TRAMEA022527,TRAACC000009,
TRAMEA022528,TRAACC000009,
TRAMEA022529,TRAACC000009,
TRAMEA022530,TRAACC000009,
TRAMEA022531,TRAACC000009,
TRAMEA022532,TRAACC000009,
TRAMEA022533,TRAACC000009,
TRAMEA022534,TRAACC000009,
TRAMEA022535,TRAACC000009,
TRAMEA022536,TRAACC000009,
TRAMEA022537,TRAACC000009,
TRAMEA022538,TRAACC000009,
TRAMEA022539,TRAACC000009,
TRAMEA022540,TRAACC000009,
TRAMEA022541,TRAACC000009,
TRAMEA022542,TRAACC000009,
TRAMEA022543,TRAACC000009,
TRAMEA022544,TRAACC000009,
TRAMEA022545,TRAACC000009,
TRAMEA022546,TRAACC000009,
TRAMEA022547,TRAACC000009,
TRAMEA022548,TRAACC000009,
TRAMEA022549,TRAACC000009,
TRAMEA022550,TRAACC000009,
TRAMEA022551,TRAACC000009,
TRAMEA022552,TRAACC000009,
TRAMEA022553,TRAACC000009,
TRAMEA022554,TRAACC000009,
TRAMEA022555,TRAACC000009,
TRAMEA022556,TRAACC000009,
TRAMEA022557,TRAACC000009,
TRAMEA022558,TRAACC000009,
TRAMEA022559,TRAACC000009,
TRAMEA022560,TRAACC000009,
TRAMEA022561,TRAACC000009,
TRAMEA022562,TRAACC000009,
TRAMEA022563,TRAACC000009,
TRAMEA022564,TRAACC000009,
TRAMEA022565,TRAACC000009,
TRAMEA022566,TRAACC000009,
TRAMEA022567,TRAACC000009,
TRAMEA022568,TRAACC000009,
TRAMEA022569,TRAACC000009,
TRAMEA022570,TRAACC000009,
TRAMEA022571,TRAACC000009,
TRAMEA022572,TRAACC000009,
TRAMEA022573,TRAACC000009,
TRAMEA022574,TRAACC000009,
TRAMEA022575,TRAACC000009,
TRAMEA022576,TRAACC000009,
TRAMEA022577,TRAACC000009,
TRAMEA022578,TRAACC000009,
TRAMEA022579,TRAACC000009,
TRAMEA022580,TRAACC000009,
TRAMEA022581,TRAACC000009,
TRAMEA022582,TRAACC000009,
TRAMEA022583,TRAACC000009,
TRAMEA022584,TRAACC000009,
TRAMEA022585,TRAACC000009,
TRAMEA022586,TRAACC000009,
TRAMEA022587,TRAACC000009,
TRAMEA022588,TRAACC000009,
TRAMEA022589,TRAACC000009,
TRAMEA022590,TRAACC000009,
TRAMEA022591,TRAACC000009,
TRAMEA022592,TRAACC000009,
TRAMEA022593,TRAACC000009,
TRAMEA022594,TRAACC000009,
TRAMEA022595,TRAACC000009,
TRAMEA022596,TRAACC000009,
TRAMEA022597,TRAACC000009,
TRAMEA022598,TRAACC000009,
TRAMEA022599,TRAACC000009,
TRAMEA022600,TRAACC000009,
TRAMEA022601,TRAACC000009,
TRAMEA022602,TRAACC000009,
TRAMEA022603,TRAACC000009,
TRAMEA022604,TRAACC000009,
TRAMEA022605,TRAACC000009,
TRAMEA022606,TRAACC000009,
TRAMEA022607,TRAACC000009,
TRAMEA022608,TRAACC000009,
TRAMEA022609,TRAACC000009,
TRAMEA022610,TRAACC000009,
TRAMEA022611,TRAACC000009,
TRAMEA022612,TRAACC000009,
TRAMEA022613,TRAACC000009,
TRAMEA022614,TRAACC000009,
TRAMEA022615,TRAACC000009,
TRAMEA022616,TRAACC000009,
TRAMEA022617,TRAACC000009,
TRAMEA022618,TRAACC000009,
TRAMEA022619,TRAACC000009,
TRAMEA022620,TRAACC000009,
TRAMEA022621,TRAACC000009,
TRAMEA022622,TRAACC000009,
TRAMEA022623,TRAACC000009,
TRAMEA022624,TRAACC000009,
TRAMEA022625,TRAACC000009,
TRAMEA022626,TRAACC000009,
TRAMEA022627,TRAACC000009,
TRAMEA022628,TRAACC000009,
TRAMEA022629,TRAACC000009,
TRAMEA022630,TRAACC000009,
TRAMEA022631,TRAACC000009,
TRAMEA022632,TRAACC000009,
TRAMEA022633,TRAACC000009,
TRAMEA022634,TRAACC000009,
TRAMEA022635,TRAACC000009,
TRAMEA022636,TRAACC000009,
TRAMEA022637,TRAACC000009,
TRAMEA022638,TRAACC000009,
TRAMEA022639,TRAACC000009,
TRAMEA022640,TRAACC000009,
TRAMEA022641,TRAACC000009,
TRAMEA022642,TRAACC000009,
TRAMEA022643,TRAACC000009,
TRAMEA022644,TRAACC000009,
TRAMEA022645,TRAACC000009,
TRAMEA022646,TRAACC000009,
TRAMEA022647,TRAACC000009,
TRAMEA022648,TRAACC000009,
TRAMEA022649,TRAACC000009,
TRAMEA022650,TRAACC000009,
TRAMEA022651,TRAACC000009,
TRAMEA022652,TRAACC000009,
TRAMEA022653,TRAACC000009,
TRAMEA022654,TRAACC000009,
TRAMEA022655,TRAACC000009,
TRAMEA022656,TRAACC000009,
TRAMEA022657,TRAACC000009,
TRAMEA022658,TRAACC000009,
TRAMEA022659,TRAACC000009,
TRAMEA022660,TRAACC000009,
TRAMEA022661,TRAACC000009,
TRAMEA022662,TRAACC000009,
TRAMEA022663,TRAACC000009,
TRAMEA022664,TRAACC000009,
TRAMEA022665,TRAACC000009,
TRAMEA022666,TRAACC000009,
TRAMEA022667,TRAACC000009,
TRAMEA022668,TRAACC000009,
TRAMEA022669,TRAACC000009,
TRAMEA022670,TRAACC000009,
TRAMEA022671,TRAACC000009,
TRAMEA022672,TRAACC000009,
TRAMEA022673,TRAACC000009,
TRAMEA022674,TRAACC000009,
TRAMEA022675,TRAACC000009,
TRAMEA022676,TRAACC000009,
TRAMEA022677,TRAACC000009,
TRAMEA022678,TRAACC000009,
TRAMEA022679,TRAACC000009,
TRAMEA022680,TRAACC000009,
TRAMEA022681,TRAACC000009,
TRAMEA022682,TRAACC000009,
TRAMEA022683,TRAACC000009,
TRAMEA022684,TRAACC000009,
TRAMEA022685,TRAACC000009,
TRAMEA022686,TRAACC000009,
TRAMEA022687,TRAACC000009,
TRAMEA022688,TRAACC000009,
TRAMEA022689,TRAACC000009,
TRAMEA022690,TRAACC000009,
TRAMEA022691,TRAACC000009,
TRAMEA022692,TRAACC000009,
TRAMEA022693,TRAACC000009,
TRAMEA022694,TRAACC000009,
TRAMEA022695,TRAACC000009,
TRAMEA022696,TRAACC000009,
TRAMEA022697,TRAACC000009,
TRAMEA022698,TRAACC000009,
TRAMEA022699,TRAACC000009,
TRAMEA022700,TRAACC000009,
TRAMEA022701,TRAACC000009,
TRAMEA022702,TRAACC000009,
TRAMEA022703,TRAACC000009,
TRAMEA022704,TRAACC000009,
TRAMEA022705,TRAACC000009,
TRAMEA022706,TRAACC000009,
TRAMEA022707,TRAACC000009,
TRAMEA022708,TRAACC000009,
TRAMEA022709,TRAACC000009,
TRAMEA022710,TRAACC000009,
TRAMEA022711,TRAACC000009,
TRAMEA022712,TRAACC000009,
TRAMEA022713,TRAACC000009,
TRAMEA022714,TRAACC000009,
TRAMEA022715,TRAACC000009,
TRAMEA022716,TRAACC000009,
TRAMEA022717,TRAACC000009,
TRAMEA022718,TRAACC000009,
TRAMEA022719,TRAACC000009,
TRAMEA022720,TRAACC000009,
