measurement_pk,technique_pk,specification_date
TRAMEA022366,TRATEC000001,
TRAMEA022367,TRATEC000001,
TRAMEA022368,TRATEC000001,
TRAMEA022369,TRATEC000001,
TRAMEA022370,TRATEC000001,
TRAMEA022371,TRATEC000001,
TRAMEA022372,TRATEC000001,
TRAMEA022373,TRATEC000001,
TRAMEA022374,TRATEC000001,
TRAMEA022375,TRATEC000001,
TRAMEA022376,TRATEC000001,
TRAMEA022377,TRATEC000001,
TRAMEA022378,TRATEC000001,
TRAMEA022379,TRATEC000001,
TRAMEA022380,TRATEC000001,
TRAMEA022381,TRATEC000001,
TRAMEA022382,TRATEC000001,
TRAMEA022383,TRATEC000001,
TRAMEA022384,TRATEC000001,
TRAMEA022385,TRATEC000001,
TRAMEA022386,TRATEC000001,
TRAMEA022387,TRATEC000001,
TRAMEA022388,TRATEC000001,
TRAMEA022389,TRATEC000001,
TRAMEA022390,TRATEC000001,
TRAMEA022391,TRATEC000001,
TRAMEA022392,TRATEC000001,
TRAMEA022393,TRATEC000001,
TRAMEA022394,TRATEC000001,
TRAMEA022395,TRATEC000001,
TRAMEA022396,TRATEC000001,
TRAMEA022397,TRATEC000001,
TRAMEA022398,TRATEC000001,
TRAMEA022399,TRATEC000001,
TRAMEA022400,TRATEC000001,
TRAMEA022401,TRATEC000001,
TRAMEA022402,TRATEC000001,
TRAMEA022403,TRATEC000001,
TRAMEA022404,TRATEC000001,
TRAMEA022405,TRATEC000001,
TRAMEA022406,TRATEC000001,
TRAMEA022407,TRATEC000001,
TRAMEA022408,TRATEC000001,
TRAMEA022409,TRATEC000001,
TRAMEA022410,TRATEC000001,
TRAMEA022411,TRATEC000001,
TRAMEA022412,TRATEC000001,
TRAMEA022413,TRATEC000001,
TRAMEA022414,TRATEC000001,
TRAMEA022415,TRATEC000001,
TRAMEA022416,TRATEC000001,
TRAMEA022417,TRATEC000001,
TRAMEA022418,TRATEC000001,
TRAMEA022419,TRATEC000001,
TRAMEA022420,TRATEC000001,
TRAMEA022421,TRATEC000001,
TRAMEA022422,TRATEC000001,
TRAMEA022423,TRATEC000001,
TRAMEA022424,TRATEC000001,
TRAMEA022425,TRATEC000001,
TRAMEA022426,TRATEC000001,
TRAMEA022427,TRATEC000001,
TRAMEA022428,TRATEC000001,
TRAMEA022429,TRATEC000001,
TRAMEA022430,TRATEC000001,
TRAMEA022431,TRATEC000001,
TRAMEA022432,TRATEC000001,
TRAMEA022433,TRATEC000001,
TRAMEA022434,TRATEC000001,
TRAMEA022435,TRATEC000001,
TRAMEA022436,TRATEC000001,
TRAMEA022437,TRATEC000001,
TRAMEA022438,TRATEC000001,
TRAMEA022439,TRATEC000001,
TRAMEA022440,TRATEC000001,
TRAMEA022441,TRATEC000001,
TRAMEA022442,TRATEC000001,
TRAMEA022443,TRATEC000001,
TRAMEA022444,TRATEC000001,
TRAMEA022445,TRATEC000001,
TRAMEA022446,TRATEC000001,
TRAMEA022447,TRATEC000001,
TRAMEA022448,TRATEC000001,
TRAMEA022449,TRATEC000001,
TRAMEA022450,TRATEC000001,
TRAMEA022451,TRATEC000001,
TRAMEA022452,TRATEC000001,
TRAMEA022453,TRATEC000001,
TRAMEA022454,TRATEC000001,
TRAMEA022455,TRATEC000001,
TRAMEA022456,TRATEC000001,
TRAMEA022457,TRATEC000001,
TRAMEA022458,TRATEC000001,
TRAMEA022459,TRATEC000001,
TRAMEA022460,TRATEC000001,
TRAMEA022461,TRATEC000001,
TRAMEA022462,TRATEC000001,
TRAMEA022463,TRATEC000001,
TRAMEA022464,TRATEC000001,
TRAMEA022465,TRATEC000001,
TRAMEA022466,TRATEC000001,
TRAMEA022467,TRATEC000001,
TRAMEA022468,TRATEC000001,
TRAMEA022469,TRATEC000001,
TRAMEA022470,TRATEC000001,
TRAMEA022471,TRATEC000001,
TRAMEA022472,TRATEC000001,
TRAMEA022473,TRATEC000001,
TRAMEA022474,TRATEC000001,
TRAMEA022475,TRATEC000001,
TRAMEA022476,TRATEC000001,
TRAMEA022477,TRATEC000001,
TRAMEA022478,TRATEC000001,
TRAMEA022479,TRATEC000001,
TRAMEA022480,TRATEC000001,
TRAMEA022481,TRATEC000001,
TRAMEA022482,TRATEC000001,
TRAMEA022483,TRATEC000001,
TRAMEA022484,TRATEC000001,
TRAMEA022485,TRATEC000001,
TRAMEA022486,TRATEC000001,
TRAMEA022487,TRATEC000001,
TRAMEA022488,TRATEC000001,
TRAMEA022489,TRATEC000001,
TRAMEA022490,TRATEC000001,
TRAMEA022491,TRATEC000001,
TRAMEA022492,TRATEC000001,
TRAMEA022493,TRATEC000001,
TRAMEA022494,TRATEC000001,
TRAMEA022495,TRATEC000001,
TRAMEA022496,TRATEC000001,
TRAMEA022497,TRATEC000001,
TRAMEA022498,TRATEC000001,
TRAMEA022499,TRATEC000001,
TRAMEA022500,TRATEC000001,
TRAMEA022501,TRATEC000001,
TRAMEA022502,TRATEC000001,
TRAMEA022503,TRATEC000001,
TRAMEA022504,TRATEC000001,
TRAMEA022505,TRATEC000001,
TRAMEA022506,TRATEC000001,
TRAMEA022507,TRATEC000001,
TRAMEA022508,TRATEC000001,
TRAMEA022509,TRATEC000001,
TRAMEA022510,TRATEC000001,
TRAMEA022511,TRATEC000001,
TRAMEA022512,TRATEC000001,
TRAMEA022513,TRATEC000001,
TRAMEA022514,TRATEC000001,
TRAMEA022515,TRATEC000001,
TRAMEA022516,TRATEC000001,
TRAMEA022517,TRATEC000001,
TRAMEA022518,TRATEC000001,
TRAMEA022519,TRATEC000001,
TRAMEA022520,TRATEC000001,
TRAMEA022521,TRATEC000001,
TRAMEA022522,TRATEC000001,
TRAMEA022523,TRATEC000001,
TRAMEA022524,TRATEC000001,
TRAMEA022525,TRATEC000001,
TRAMEA022526,TRATEC000001,
TRAMEA022527,TRATEC000001,
TRAMEA022528,TRATEC000001,
TRAMEA022529,TRATEC000001,
TRAMEA022530,TRATEC000001,
TRAMEA022531,TRATEC000001,
TRAMEA022532,TRATEC000001,
TRAMEA022533,TRATEC000001,
TRAMEA022534,TRATEC000001,
TRAMEA022535,TRATEC000001,
TRAMEA022536,TRATEC000001,
TRAMEA022537,TRATEC000001,
TRAMEA022538,TRATEC000001,
TRAMEA022539,TRATEC000001,
TRAMEA022540,TRATEC000001,
TRAMEA022541,TRATEC000001,
TRAMEA022542,TRATEC000001,
TRAMEA022543,TRATEC000001,
TRAMEA022544,TRATEC000001,
TRAMEA022545,TRATEC000001,
TRAMEA022546,TRATEC000001,
TRAMEA022547,TRATEC000001,
TRAMEA022548,TRATEC000001,
TRAMEA022549,TRATEC000001,
TRAMEA022550,TRATEC000001,
TRAMEA022551,TRATEC000001,
TRAMEA022552,TRATEC000001,
TRAMEA022553,TRATEC000001,
TRAMEA022554,TRATEC000001,
TRAMEA022555,TRATEC000001,
TRAMEA022556,TRATEC000001,
TRAMEA022557,TRATEC000001,
TRAMEA022558,TRATEC000001,
TRAMEA022559,TRATEC000001,
TRAMEA022560,TRATEC000001,
TRAMEA022561,TRATEC000001,
TRAMEA022562,TRATEC000001,
TRAMEA022563,TRATEC000001,
TRAMEA022564,TRATEC000001,
TRAMEA022565,TRATEC000001,
TRAMEA022566,TRATEC000001,
TRAMEA022567,TRATEC000001,
TRAMEA022568,TRATEC000001,
TRAMEA022569,TRATEC000001,
TRAMEA022570,TRATEC000001,
TRAMEA022571,TRATEC000001,
TRAMEA022572,TRATEC000001,
TRAMEA022573,TRATEC000001,
TRAMEA022574,TRATEC000001,
TRAMEA022575,TRATEC000001,
TRAMEA022576,TRATEC000001,
TRAMEA022577,TRATEC000001,
TRAMEA022578,TRATEC000001,
TRAMEA022579,TRATEC000001,
TRAMEA022580,TRATEC000001,
TRAMEA022581,TRATEC000001,
TRAMEA022582,TRATEC000001,
TRAMEA022583,TRATEC000001,
TRAMEA022584,TRATEC000001,
TRAMEA022585,TRATEC000001,
TRAMEA022586,TRATEC000001,
TRAMEA022587,TRATEC000001,
TRAMEA022588,TRATEC000001,
TRAMEA022589,TRATEC000001,
TRAMEA022590,TRATEC000001,
TRAMEA022591,TRATEC000001,
TRAMEA022592,TRATEC000001,
TRAMEA022593,TRATEC000001,
TRAMEA022594,TRATEC000001,
TRAMEA022595,TRATEC000001,
TRAMEA022596,TRATEC000001,
TRAMEA022597,TRATEC000001,
TRAMEA022598,TRATEC000001,
TRAMEA022599,TRATEC000001,
TRAMEA022600,TRATEC000001,
TRAMEA022601,TRATEC000001,
TRAMEA022602,TRATEC000001,
TRAMEA022603,TRATEC000001,
TRAMEA022604,TRATEC000001,
TRAMEA022605,TRATEC000001,
TRAMEA022606,TRATEC000001,
TRAMEA022607,TRATEC000001,
TRAMEA022608,TRATEC000001,
TRAMEA022609,TRATEC000001,
TRAMEA022610,TRATEC000001,
TRAMEA022611,TRATEC000001,
TRAMEA022612,TRATEC000001,
TRAMEA022613,TRATEC000001,
TRAMEA022614,TRATEC000001,
TRAMEA022615,TRATEC000001,
TRAMEA022616,TRATEC000001,
TRAMEA022617,TRATEC000001,
TRAMEA022618,TRATEC000001,
TRAMEA022619,TRATEC000001,
TRAMEA022620,TRATEC000001,
TRAMEA022621,TRATEC000001,
TRAMEA022622,TRATEC000001,
TRAMEA022623,TRATEC000001,
TRAMEA022624,TRATEC000001,
TRAMEA022625,TRATEC000001,
TRAMEA022626,TRATEC000001,
TRAMEA022627,TRATEC000001,
TRAMEA022628,TRATEC000001,
TRAMEA022629,TRATEC000001,
TRAMEA022630,TRATEC000001,
TRAMEA022631,TRATEC000001,
TRAMEA022632,TRATEC000001,
TRAMEA022633,TRATEC000001,
TRAMEA022634,TRATEC000001,
TRAMEA022635,TRATEC000001,
TRAMEA022636,TRATEC000001,
TRAMEA022637,TRATEC000001,
TRAMEA022638,TRATEC000001,
TRAMEA022639,TRATEC000001,
TRAMEA022640,TRATEC000001,
TRAMEA022641,TRATEC000001,
TRAMEA022642,TRATEC000001,
TRAMEA022643,TRATEC000001,
TRAMEA022644,TRATEC000001,
TRAMEA022645,TRATEC000001,
TRAMEA022646,TRATEC000001,
TRAMEA022647,TRATEC000001,
TRAMEA022648,TRATEC000001,
TRAMEA022649,TRATEC000001,
TRAMEA022650,TRATEC000001,
TRAMEA022651,TRATEC000001,
TRAMEA022652,TRATEC000001,
TRAMEA022653,TRATEC000001,
TRAMEA022654,TRATEC000001,
TRAMEA022655,TRATEC000001,
TRAMEA022656,TRATEC000001,
TRAMEA022657,TRATEC000001,
TRAMEA022658,TRATEC000001,
TRAMEA022659,TRATEC000001,
TRAMEA022660,TRATEC000001,
TRAMEA022661,TRATEC000001,
TRAMEA022662,TRATEC000001,
TRAMEA022663,TRATEC000001,
TRAMEA022664,TRATEC000001,
TRAMEA022665,TRATEC000001,
TRAMEA022666,TRATEC000001,
TRAMEA022667,TRATEC000001,
TRAMEA022668,TRATEC000001,
TRAMEA022669,TRATEC000001,
TRAMEA022670,TRATEC000001,
TRAMEA022671,TRATEC000001,
TRAMEA022672,TRATEC000001,
TRAMEA022673,TRATEC000001,
TRAMEA022674,TRATEC000001,
TRAMEA022675,TRATEC000001,
TRAMEA022676,TRATEC000001,
TRAMEA022677,TRATEC000001,
TRAMEA022678,TRATEC000001,
TRAMEA022679,TRATEC000001,
TRAMEA022680,TRATEC000001,
TRAMEA022681,TRATEC000001,
TRAMEA022682,TRATEC000001,
TRAMEA022683,TRATEC000001,
TRAMEA022684,TRATEC000001,
TRAMEA022685,TRATEC000001,
TRAMEA022686,TRATEC000001,
TRAMEA022687,TRATEC000001,
TRAMEA022688,TRATEC000001,
TRAMEA022689,TRATEC000001,
TRAMEA022690,TRATEC000001,
TRAMEA022691,TRATEC000001,
TRAMEA022692,TRATEC000001,
TRAMEA022693,TRATEC000001,
TRAMEA022694,TRATEC000001,
TRAMEA022695,TRATEC000001,
TRAMEA022696,TRATEC000001,
TRAMEA022697,TRATEC000001,
TRAMEA022698,TRATEC000001,
TRAMEA022699,TRATEC000001,
TRAMEA022700,TRATEC000001,
TRAMEA022701,TRATEC000001,
TRAMEA022702,TRATEC000001,
TRAMEA022703,TRATEC000001,
TRAMEA022704,TRATEC000001,
TRAMEA022705,TRATEC000001,
TRAMEA022706,TRATEC000001,
TRAMEA022707,TRATEC000001,
TRAMEA022708,TRATEC000001,
TRAMEA022709,TRATEC000001,
TRAMEA022710,TRATEC000001,
TRAMEA022711,TRATEC000001,
TRAMEA022712,TRATEC000001,
TRAMEA022713,TRATEC000001,
TRAMEA022714,TRATEC000001,
TRAMEA022715,TRATEC000001,
TRAMEA022716,TRATEC000001,
TRAMEA022717,TRATEC000001,
TRAMEA022718,TRATEC000001,
TRAMEA022719,TRATEC000001,
TRAMEA022720,TRATEC000001,
TRAMEA022721,TRATEC000001,
TRAMEA022722,TRATEC000001,
TRAMEA022723,TRATEC000001,
TRAMEA022724,TRATEC000001,
TRAMEA022725,TRATEC000001,
TRAMEA022726,TRATEC000001,
TRAMEA022727,TRATEC000001,
TRAMEA022728,TRATEC000001,
TRAMEA022729,TRATEC000001,
TRAMEA022730,TRATEC000001,
TRAMEA022731,TRATEC000001,
TRAMEA022732,TRATEC000001,
TRAMEA022733,TRATEC000001,
TRAMEA022734,TRATEC000001,
TRAMEA022735,TRATEC000001,
TRAMEA022736,TRATEC000001,
TRAMEA022737,TRATEC000001,
TRAMEA022738,TRATEC000001,
TRAMEA022739,TRATEC000001,
TRAMEA022740,TRATEC000001,
TRAMEA022741,TRATEC000001,
TRAMEA022742,TRATEC000001,
TRAMEA022743,TRATEC000001,
TRAMEA022744,TRATEC000001,
TRAMEA022745,TRATEC000001,
TRAMEA022746,TRATEC000001,
TRAMEA022747,TRATEC000001,
TRAMEA022748,TRATEC000001,
TRAMEA022749,TRATEC000001,
TRAMEA022750,TRATEC000001,
TRAMEA022751,TRATEC000001,
TRAMEA022752,TRATEC000001,
TRAMEA022753,TRATEC000001,
TRAMEA022754,TRATEC000001,
TRAMEA022755,TRATEC000001,
TRAMEA022756,TRATEC000001,
TRAMEA022757,TRATEC000001,
TRAMEA022758,TRATEC000001,
TRAMEA022759,TRATEC000001,
TRAMEA022760,TRATEC000001,
TRAMEA022761,TRATEC000001,
TRAMEA022762,TRATEC000001,
TRAMEA022763,TRATEC000001,
TRAMEA022764,TRATEC000001,
TRAMEA022765,TRATEC000001,
TRAMEA022766,TRATEC000001,
TRAMEA022767,TRATEC000001,
TRAMEA022768,TRATEC000001,
TRAMEA022769,TRATEC000001,
TRAMEA022770,TRATEC000001,
TRAMEA022771,TRATEC000001,
TRAMEA022772,TRATEC000001,
TRAMEA022773,TRATEC000001,
TRAMEA022774,TRATEC000001,
TRAMEA022775,TRATEC000001,
TRAMEA022776,TRATEC000001,
TRAMEA022777,TRATEC000001,
TRAMEA022778,TRATEC000001,
TRAMEA022779,TRATEC000001,
TRAMEA022780,TRATEC000001,
TRAMEA022781,TRATEC000001,
TRAMEA022782,TRATEC000001,
TRAMEA022783,TRATEC000001,
TRAMEA022784,TRATEC000001,
TRAMEA022785,TRATEC000001,
TRAMEA022786,TRATEC000001,
TRAMEA022787,TRATEC000001,
TRAMEA022788,TRATEC000001,
TRAMEA022789,TRATEC000001,
TRAMEA022790,TRATEC000001,
TRAMEA022791,TRATEC000001,
TRAMEA022792,TRATEC000001,
TRAMEA022793,TRATEC000001,
TRAMEA022794,TRATEC000001,
TRAMEA022795,TRATEC000001,
TRAMEA022796,TRATEC000001,
TRAMEA022797,TRATEC000001,
TRAMEA022798,TRATEC000001,
TRAMEA022799,TRATEC000001,
TRAMEA022800,TRATEC000001,
TRAMEA022801,TRATEC000001,
TRAMEA022802,TRATEC000001,
TRAMEA022803,TRATEC000001,
TRAMEA022804,TRATEC000001,
TRAMEA022805,TRATEC000001,
TRAMEA022806,TRATEC000001,
TRAMEA022807,TRATEC000001,
TRAMEA022808,TRATEC000001,
TRAMEA022809,TRATEC000001,
TRAMEA022810,TRATEC000622,
TRAMEA022811,TRATEC000622,
TRAMEA022812,TRATEC000622,
TRAMEA022813,TRATEC000622,
TRAMEA022814,TRATEC000622,
TRAMEA022815,TRATEC000622,
TRAMEA022816,TRATEC000622,
TRAMEA022817,TRATEC000622,
TRAMEA022818,TRATEC000622,
TRAMEA022819,TRATEC000622,
TRAMEA022820,TRATEC000622,
TRAMEA022821,TRATEC000622,
TRAMEA022822,TRATEC000622,
TRAMEA022823,TRATEC000622,
TRAMEA022824,TRATEC000622,
TRAMEA022825,TRATEC000622,
TRAMEA022826,TRATEC000622,
TRAMEA022827,TRATEC000622,
TRAMEA022828,TRATEC000622,
TRAMEA022829,TRATEC000622,
TRAMEA022830,TRATEC000622,
TRAMEA022831,TRATEC000622,
TRAMEA022832,TRATEC000622,
TRAMEA022833,TRATEC000622,
TRAMEA022834,TRATEC000622,
TRAMEA022835,TRATEC000622,
TRAMEA022836,TRATEC000622,
TRAMEA022837,TRATEC000622,
TRAMEA022838,TRATEC000622,
TRAMEA022839,TRATEC000622,
TRAMEA022840,TRATEC000622,
TRAMEA022841,TRATEC000622,
TRAMEA022842,TRATEC000622,
TRAMEA022843,TRATEC000622,
TRAMEA022844,TRATEC000622,
TRAMEA022845,TRATEC000622,
TRAMEA022846,TRATEC000622,
TRAMEA022847,TRATEC000622,
TRAMEA022848,TRATEC000622,
TRAMEA022849,TRATEC000622,
TRAMEA022850,TRATEC000622,
TRAMEA022851,TRATEC000622,
TRAMEA022852,TRATEC000622,
TRAMEA022853,TRATEC000622,
TRAMEA022854,TRATEC000622,
TRAMEA022855,TRATEC000622,
TRAMEA022856,TRATEC000622,
TRAMEA022857,TRATEC000622,
TRAMEA022858,TRATEC000622,
TRAMEA022859,TRATEC000622,
TRAMEA022860,TRATEC000622,
TRAMEA022861,TRATEC000622,
TRAMEA022862,TRATEC000622,
TRAMEA022863,TRATEC000622,
TRAMEA022864,TRATEC000622,
TRAMEA022865,TRATEC000622,
TRAMEA022866,TRATEC000622,
TRAMEA022867,TRATEC000622,
TRAMEA022868,TRATEC000622,
TRAMEA022869,TRATEC000622,
TRAMEA022870,TRATEC000622,
TRAMEA022871,TRATEC000622,
TRAMEA022872,TRATEC000622,
TRAMEA022873,TRATEC000622,
TRAMEA022874,TRATEC000622,
TRAMEA022875,TRATEC000622,
TRAMEA022876,TRATEC000622,
TRAMEA022877,TRATEC000622,
TRAMEA022878,TRATEC000622,
TRAMEA022879,TRATEC000622,
TRAMEA022880,TRATEC000622,
TRAMEA022881,TRATEC000622,
TRAMEA022882,TRATEC000622,
TRAMEA022883,TRATEC000622,
TRAMEA022884,TRATEC000622,
TRAMEA022885,TRATEC000622,
TRAMEA022886,TRATEC000622,
TRAMEA022887,TRATEC000622,
TRAMEA022888,TRATEC000622,
TRAMEA022889,TRATEC000622,
TRAMEA022890,TRATEC000622,
TRAMEA022891,TRATEC000622,
TRAMEA022892,TRATEC000622,
TRAMEA022893,TRATEC000622,
TRAMEA022894,TRATEC000622,
TRAMEA022895,TRATEC000622,
TRAMEA022896,TRATEC000622,
TRAMEA022897,TRATEC000622,
TRAMEA022898,TRATEC000622,
TRAMEA022899,TRATEC000622,
TRAMEA022900,TRATEC000622,
TRAMEA022901,TRATEC000622,
TRAMEA022902,TRATEC000622,
TRAMEA022903,TRATEC000622,
TRAMEA022904,TRATEC000622,
TRAMEA022905,TRATEC000622,
TRAMEA022906,TRATEC000622,
TRAMEA022907,TRATEC000622,
TRAMEA022908,TRATEC000622,
TRAMEA022909,TRATEC000622,
TRAMEA022910,TRATEC000622,
TRAMEA022911,TRATEC000622,
TRAMEA022912,TRATEC000622,
TRAMEA022913,TRATEC000622,
TRAMEA022914,TRATEC000622,
TRAMEA022915,TRATEC000622,
TRAMEA022916,TRATEC000622,
TRAMEA022917,TRATEC000622,
TRAMEA022918,TRATEC000622,
TRAMEA022919,TRATEC000622,
TRAMEA022920,TRATEC000622,
TRAMEA022921,TRATEC000622,
TRAMEA022922,TRATEC000622,
TRAMEA022923,TRATEC000622,
TRAMEA022924,TRATEC000622,
TRAMEA022925,TRATEC000622,
TRAMEA022926,TRATEC000622,
TRAMEA022927,TRATEC000622,
TRAMEA022928,TRATEC000622,
TRAMEA022929,TRATEC000622,
TRAMEA022930,TRATEC000622,
TRAMEA022931,TRATEC000622,
TRAMEA022932,TRATEC000622,
TRAMEA022933,TRATEC000622,
TRAMEA022934,TRATEC000622,
TRAMEA022935,TRATEC000622,
TRAMEA022936,TRATEC000622,
TRAMEA022937,TRATEC000622,
TRAMEA022938,TRATEC000622,
TRAMEA022939,TRATEC000622,
TRAMEA022940,TRATEC000622,
TRAMEA022941,TRATEC000622,
TRAMEA022942,TRATEC000622,
TRAMEA022943,TRATEC000622,
TRAMEA022944,TRATEC000622,
TRAMEA022945,TRATEC000622,
TRAMEA022946,TRATEC000622,
TRAMEA022947,TRATEC000622,
TRAMEA022948,TRATEC000622,
TRAMEA022949,TRATEC000622,
TRAMEA022950,TRATEC000622,
TRAMEA022951,TRATEC000622,
TRAMEA022952,TRATEC000622,
TRAMEA022953,TRATEC000622,
TRAMEA022954,TRATEC000622,
TRAMEA022955,TRATEC000622,
TRAMEA022956,TRATEC000622,
TRAMEA022957,TRATEC000622,
TRAMEA022958,TRATEC000622,
TRAMEA022959,TRATEC000622,
TRAMEA022960,TRATEC000622,
TRAMEA022961,TRATEC000622,
TRAMEA022962,TRATEC000622,
TRAMEA022963,TRATEC000622,
