condition_pk,temperature,photoperiod,humidity,oxygen,carbon_dioxide,salinity,ph,oxygen_units,carbon_dioxide_units,food_type,duration,duration_generations,method_check
TRACON045666,21.5,12L_12D,,19.5,,0.0,4.0,kPa,,,,,test
TRACON045668,21.5,12L_12D,,19.5,,0.0,4.0,kPa,,"Pelleted diet- Ridley Aqua-feeds and and bloodworms (Orca, Nijimi Pty Ltd, Sydney, Australia)",28.0,,acclimation
TRACON045856,18.0,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,40.0,,maintenance
TRACON045857,20.0,,,,,,,,,no food,2.0,,acclimation
TRACON045915,23.0,,,,,,,,,,,,test
TRACON045916,23.0,,,,,,,,,earthworms and crickets,164.0,,maintenance
TRACON045918,23.0,,,,,,,,,earthworms and crickets,154.0,,maintenance
TRACON045920,23.0,,,,,,,,,earthworms and crickets,169.0,,maintenance
TRACON045922,23.0,,,,,,,,,earthworms and crickets,118.0,,maintenance
TRACON045924,23.0,,,,,,,,,earthworms and crickets,151.0,,maintenance
TRACON045926,23.0,,,,,,,,,earthworms and crickets,144.0,,maintenance
TRACON045928,23.0,,,,,,,,,earthworms and crickets,180.0,,maintenance
TRACON045930,23.0,,,,,,,,,earthworms and crickets,143.0,,maintenance
TRACON045932,23.0,,,,,,,,,earthworms and crickets,198.0,,maintenance
TRACON045934,23.0,,,,,,,,,earthworms and crickets,90.0,,maintenance
TRACON045936,23.0,,,,,,,,,earthworms and crickets,96.0,,maintenance
TRACON045938,23.0,,,,,,,,,earthworms and crickets,92.0,,maintenance
TRACON045940,23.0,,,,,,,,,earthworms and crickets,133.0,,maintenance
TRACON045944,23.0,,,,,,,,,earthworms and crickets,188.0,,maintenance
TRACON045946,23.0,,,,,,,,,earthworms and crickets,,,maintenance
TRACON045948,23.0,,,,,,,,,earthworms and crickets,132.0,,maintenance
TRACON045950,23.0,,,,,,,,,earthworms and crickets,171.0,,maintenance
TRACON045952,23.0,,,,,,,,,earthworms and crickets,155.0,,maintenance
TRACON045954,23.0,,,,,,,,,earthworms and crickets,100.0,,maintenance
TRACON045956,23.0,,,,,,,,,earthworms and crickets,122.0,,maintenance
TRACON045958,23.0,,,,,,,,,earthworms and crickets,138.0,,maintenance
TRACON045960,23.0,,,,,,,,,earthworms and crickets,145.0,,maintenance
TRACON045962,23.0,,,,,,,,,earthworms and crickets,129.0,,maintenance
TRACON045964,23.0,,,,,,,,,earthworms and crickets,185.0,,maintenance
TRACON045966,23.0,,,,,,,,,earthworms and crickets,82.0,,maintenance
TRACON045968,23.0,,,,,,,,,earthworms and crickets,166.0,,maintenance
TRACON045972,23.0,,,,,,,,,earthworms and crickets,193.0,,maintenance
TRACON045974,23.0,,,,,,,,,earthworms and crickets,106.0,,maintenance
TRACON045978,23.0,,,,,,,,,earthworms and crickets,99.0,,maintenance
TRACON045980,23.0,,,,,,,,,earthworms and crickets,116.0,,maintenance
TRACON045982,23.0,,,,,,,,,earthworms and crickets,112.0,,maintenance
TRACON045984,23.0,,,,,,,,,earthworms and crickets,121.0,,maintenance
TRACON045986,23.0,,,,,,,,,earthworms and crickets,137.0,,maintenance
TRACON045990,23.0,,,,,,,,,earthworms and crickets,183.0,,maintenance
TRACON045992,23.0,,,,,,,,,earthworms and crickets,172.0,,maintenance
TRACON045994,23.0,,,,,,,,,earthworms and crickets,105.0,,maintenance
TRACON045998,23.0,,,,,,,,,earthworms and crickets,119.0,,maintenance
TRACON046002,23.0,,,,,,,,,earthworms and crickets,93.0,,maintenance
TRACON046004,23.0,,,,,,,,,earthworms and crickets,113.0,,maintenance
TRACON046006,23.0,,,,,,,,,earthworms and crickets,102.0,,maintenance
TRACON046012,23.0,,,,,,,,,earthworms and crickets,159.0,,maintenance
TRACON046016,23.0,,,,,,,,,earthworms and crickets,181.0,,maintenance
TRACON046018,23.0,,,,,,,,,earthworms and crickets,175.0,,maintenance
TRACON046024,23.0,,,,,,,,,earthworms and crickets,120.0,,maintenance
TRACON046030,23.0,,,,,,,,,earthworms and crickets,176.0,,maintenance
TRACON046042,23.0,,,,,,,,,earthworms and crickets,114.0,,maintenance
TRACON046048,23.0,,,,,,,,,earthworms and crickets,141.0,,maintenance
TRACON046050,23.0,,,,,,,,,earthworms and crickets,149.0,,maintenance
TRACON046052,23.0,,,,,,,,,earthworms and crickets,94.0,,maintenance
TRACON046056,23.0,,,,,,,,,earthworms and crickets,131.0,,maintenance
TRACON046058,23.0,,,,,,,,,earthworms and crickets,128.0,,maintenance
TRACON046062,23.0,,,,,,,,,earthworms and crickets,148.0,,maintenance
TRACON046066,23.0,,,,,,,,,earthworms and crickets,109.0,,maintenance
TRACON046074,23.0,,,,,,,,,earthworms and crickets,88.0,,maintenance
TRACON046078,23.0,,,,,,,,,earthworms and crickets,160.0,,maintenance
TRACON046080,23.0,,,,,,,,,earthworms and crickets,195.0,,maintenance
TRACON046082,23.0,,,,,,,,,earthworms and crickets,108.0,,maintenance
TRACON046086,23.0,,,,,,,,,earthworms and crickets,150.0,,maintenance
TRACON046088,23.0,,,,,,,,,earthworms and crickets,147.0,,maintenance
TRACON046090,23.0,,,,,,,,,earthworms and crickets,192.0,,maintenance
TRACON046092,23.0,,,,,,,,,earthworms and crickets,191.0,,maintenance
TRACON046094,23.0,,,,,,,,,earthworms and crickets,142.0,,maintenance
TRACON046100,23.0,,,,,,,,,earthworms and crickets,107.0,,maintenance
TRACON046102,23.0,,,,,,,,,earthworms and crickets,111.0,,maintenance
TRACON046104,23.0,,,,,,,,,earthworms and crickets,200.0,,maintenance
TRACON046106,23.0,,,,,,,,,earthworms and crickets,210.0,,maintenance
TRACON046110,23.0,,,,,,,,,earthworms and crickets,104.0,,maintenance
TRACON046116,23.0,,,,,,,,,earthworms and crickets,74.0,,maintenance
TRACON046120,23.0,,,,,,,,,earthworms and crickets,156.0,,maintenance
TRACON046126,23.0,,,,,,,,,earthworms and crickets,170.0,,maintenance
TRACON046132,23.0,,,,,,,,,earthworms and crickets,127.0,,maintenance
TRACON046140,23.0,,,,,,,,,earthworms and crickets,98.0,,maintenance
TRACON046152,23.0,,,,,,,,,earthworms and crickets,146.0,,maintenance
TRACON046153,29.5,,,,,,,,,,,,test
TRACON046154,29.5,,,,,,,,,,,,maintenance
TRACON046193,26.5,,,,,,,,,,,,test
TRACON046194,26.5,,,,,,,,,,,,maintenance
TRACON046227,23.5,,,,,,,,,,,,test
TRACON046228,23.5,,,,,,,,,,,,maintenance
TRACON046999,,,,,,,,,,,20.0,,acclimation
TRACON047058,23.0,,,,,,,,,,,,maintenance
TRACON047059,,,,,,,,,,,23.0,,acclimation
TRACON047489,11.5,24L_0D,,1.731779266,,32.0,,kPa,,,,,test
TRACON047490,11.5,12L_12D,,,,32.3,,,,krill flakes,21.0,,maintenance
TRACON047501,11.5,24L_0D,,4.220835712,,32.0,,kPa,,,,,test
TRACON047513,11.5,24L_0D,,7.657801935,,32.0,,kPa,,,,,test
TRACON047525,11.5,24L_0D,,12.01978897,,32.0,,kPa,,,,,test
TRACON047537,11.5,24L_0D,,21.116,,32.0,,kPa,,,,,test
TRACON047549,11.5,,,21.0,,32.0,,kPa,,,,,test
TRACON047550,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,0.0,,maintenance
TRACON047582,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,1.0,,maintenance
TRACON048054,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,7.0,,maintenance
TRACON048070,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,8.0,,maintenance
TRACON048432,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,14.0,,maintenance
TRACON048462,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,15.0,,maintenance
TRACON048954,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,21.0,,maintenance
TRACON048982,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,22.0,,maintenance
TRACON049404,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,28.0,,maintenance
TRACON049436,11.5,12L_12D,,21.0,,32.0,,kPa,,krill flakes,29.0,,maintenance
TRACON049871,6.0,,,2.36,,32.0,,kPa,,,,,test
TRACON049872,12.0,12L_12D,,,,32.0,,,,,,,maintenance
TRACON049891,6.0,,,4.71,,32.0,,kPa,,,,,test
TRACON049911,6.0,,,9.44,,32.0,,kPa,,,,,test
TRACON049931,6.0,,,14.15,,32.0,,kPa,,,,,test
TRACON049951,6.0,,,21.23,,32.0,,kPa,,,,,test
TRACON049971,12.0,,,2.36,,32.0,,kPa,,,,,test
TRACON049991,12.0,,,4.71,,32.0,,kPa,,,,,test
TRACON050011,12.0,,,9.44,,32.0,,kPa,,,,,test
TRACON050031,12.0,,,14.15,,32.0,,kPa,,,,,test
TRACON050051,12.0,,,21.23,,32.0,,kPa,,,,,test
TRACON050071,18.0,,,2.36,,32.0,,kPa,,,,,test
TRACON050091,18.0,,,4.71,,32.0,,kPa,,,,,test
TRACON050111,18.0,,,9.44,,32.0,,kPa,,,,,test
TRACON050131,18.0,,,14.15,,32.0,,kPa,,,,,test
TRACON050151,18.0,,,21.23,,32.0,,kPa,,,,,test
TRACON051047,21.0,,,,,,,,,,,,test
TRACON051317,9.0,,,,,20.0,,,,,,,test
TRACON051318,9.0,,,,,20.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051363,18.0,,,,,20.0,,,,,,,test
TRACON051364,18.0,,,,,20.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051413,25.0,,,,,20.0,,,,,,,test
TRACON051414,25.0,,,,,20.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051465,25.6,,,,,20.0,,,,,,,test
TRACON051466,25.6,,,,,20.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051515,26.2,,,,,20.0,,,,,,,test
TRACON051516,26.2,,,,,20.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051563,10.0,,,,,22.0,,,,,,,test
TRACON051564,10.0,,,,,22.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051611,18.0,,,,,22.0,,,,,,,test
TRACON051612,18.0,,,,,22.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051651,28.0,,,,,22.0,,,,,,,test
TRACON051652,28.0,,,,,22.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051739,28.6,,,,,22.0,,,,,,,test
TRACON051740,28.6,,,,,22.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051783,29.2,,,,,22.0,,,,,,,test
TRACON051784,29.2,,,,,22.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051823,12.0,,,,,21.0,,,,,,,test
TRACON051824,12.0,,,,,21.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051865,18.0,,,,,21.0,,,,,,,test
TRACON051866,18.0,,,,,21.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051927,29.0,,,,,21.0,,,,,,,test
TRACON051928,29.0,,,,,21.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON051975,29.6,,,,,21.0,,,,,,,test
TRACON051976,29.6,,,,,21.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON052019,30.2,,,,,21.0,,,,,,,test
TRACON052020,30.2,,,,,21.0,,,,Phragmites australis (Cav.) Trin. ex Steud,14.0,,acclimation
TRACON052068,28.0,,,,,,,,,,98.0,,maintenance
TRACON052069,28.0,,,100.0,,,,percentage_of_saturation,,,,,acclimation
TRACON052249,28.0,,,50.0,,,,percentage_of_saturation,,,,,acclimation
TRACON052369,23.0,,,100.0,,,,percentage_of_saturation,,,,,acclimation
TRACON052480,23.0,,,50.0,,,,percentage_of_saturation,,,,,acclimation
TRACON053079,23.0,,,,,,,,,,126.0,,maintenance
TRACON054042,10.0,12L_12D,100.0,21.0,400.0,0.0,7.0,kPa,uatm,red chironomids,7.0,,acclimation
TRACON054272,29.0,12L_12D,,,,,,,,"finely processed raw food that consisted of 50% vegetables (butternut pumpkin, green beans and rocket), 40% meat (turkey mince) and 10% fruit (strawberries). This food mix was supplemented with a reptile-specific multi-vitamin (Herptivite���, Rep-Cal, Los Gatos, CA, USA) and calcium powder (phosphorus-free calcium with vitamin D3 Ultrafine, Rep-Cal) at the recommended dose of 15���ml of each supplement per 1���kg of food.",1000.0,1.0,maintenance
TRACON054297,35.0,,,,,,,,,,,,test
TRACON054461,20.5,12L_12D,,,,,,,,,,,test
TRACON054462,20.5,12L_12D,,,,,,,,Fed once a week on vitamin-dusted crickets,,1.0,maintenance
TRACON054463,20.5,12L_12D,,,,,,,,Fed once a week on vitamin-dusted crickets,,,acclimation
TRACON054992,24.0,24L_0D,,100.0,,0.0,7.6,percentage_of_saturation,,,,,test
TRACON054993,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",98.0,,maintenance
TRACON054994,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA) supplemented with live Artemia salina nauplii every three to four days",,,acclimation
TRACON055100,30.0,24L_0D,,100.0,,0.0,7.6,percentage_of_saturation,,,,,test
TRACON055101,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",98.0,,maintenance
TRACON055102,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA) supplemented with live Artemia salina nauplii every three to four days",,,acclimation
TRACON055194,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",91.0,,maintenance
TRACON055302,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",91.0,,maintenance
TRACON055407,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",84.0,,maintenance
TRACON055515,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",84.0,,maintenance
TRACON055620,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",77.0,,maintenance
TRACON055728,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",77.0,,maintenance
TRACON055836,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",70.0,,maintenance
TRACON055944,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",70.0,,maintenance
TRACON056052,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",63.0,,maintenance
TRACON056160,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",63.0,,maintenance
TRACON056268,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",56.0,,maintenance
TRACON056376,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",56.0,,maintenance
TRACON056484,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",49.0,,maintenance
TRACON056592,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",49.0,,maintenance
TRACON056700,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",42.0,,maintenance
TRACON056808,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",42.0,,maintenance
TRACON056916,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",35.0,,maintenance
TRACON057021,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",35.0,,maintenance
TRACON057126,24.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",126.0,,maintenance
TRACON057231,30.0,14L_10D,,100.0,,0.0,7.6,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3�4 days",126.0,,maintenance
