measurement_pk,individual_pk,trait_pk,trait_type,trait_value,trait_unit,trait_error_estimate,trait_error_type,trait_converted,individual_developmental_stage,fresh_mass,fresh_mass_unit,sample_size,size_condition,size_value,size_value_initial,size_value_final,size_unit,size_type,life_stage_general,life_stage_specific,life_stage_specific_initial,life_stage_specific_final,comment_trait,measure_date
TRAMEA035,TRAIND035,TRATRA003,development,11,Days,,,,,,,,,0.41,,,millimeter,tibia size,,,,,,
TRAMEA036,TRAIND036,TRATRA003,development,12,Days,,,,,,,,,0.42,,,millimeter,tibia size,,,,,,
TRAMEA037,TRAIND037,TRATRA012,development,,,,,,,,,,,,,,,,,,,,,
TRAMEA038,TRAIND038,TRATRA012,development,89,Days,,,,,,,,,42.17,,,milligram,fresh body mass,,,,,,
TRAMEA039,TRAIND039,TRATRA012,development,,,,,,,,,,,,,,,,,,,,,
TRAMEA040,TRAIND040,TRATRA003,development,25,Days,,,,,,,,,0.1886,,,milligram,dry body mass,,,,,,
TRAMEA041,TRAIND041,TRATRA003,development,25,Days,,,,,,,,,0.2033,,,milligram,dry body mass,,,,,,
TRAMEA042,TRAIND042,TRATRA003,development,26,Days,,,,,,,,,0.2064,,,milligram,dry body mass,,,,,,
TRAMEA043,TRAIND043,TRATRA003,development,33,Days,,,,,,,,,0.1667,,,milligram,dry body mass,,,,,,
TRAMEA044,TRAIND044,TRATRA003,development,33,Days,,,,,,,,,0.177,,,milligram,dry body mass,,,,,,
TRAMEA045,TRAIND045,TRATRA003,development,37,Days,,,,,,,,,0.0804,,,milligram,dry body mass,,,,,,
TRAMEA046,TRAIND046,TRATRA003,development,,,,,,,,,,,0.067,,,milligram,dry body mass,,,,,,
TRAMEA047,TRAIND047,TRATRA003,development,,,,,,,,,,,0.0872,,,milligram,dry body mass,,,,,,
TRAMEA048,TRAIND048,TRATRA003,development,,,,,,,,,,,0.0852,,,milligram,dry body mass,,,,,,
TRAMEA049,TRAIND049,TRATRA003,development,32,Days,,,,,,,,,,,,,,,,,,,
TRAMEA050,TRAIND050,TRATRA003,development,32,Days,,,,,,,,,0.092,,,milligram,dry body mass,,,,,,
TRAMEA051,TRAIND051,TRATRA003,development,33,Days,,,,,,,,,0.094,,,milligram,dry body mass,,,,,,
TRAMEA052,TRAIND052,TRATRA011,development,1,Days,,,,,,,,,,,,,,,,,,,
TRAMEA053,TRAIND053,TRATRA011,development,1,Days,,,,,,,,,,,,,,,,,,,
TRAMEA054,TRAIND054,TRATRA011,development,1,Days,,,,,,,,,,,,,,,,,,,
TRAMEA055,TRAIND055,TRATRA003,development,21,Days,,,,,,,,,34.53,,,milligram,fresh body mass,,,,,,
TRAMEA056,TRAIND056,TRATRA003,development,21,Days,,,,,,,,,46.13,,,milligram,fresh body mass,,,,,,
TRAMEA057,TRAIND057,TRATRA003,development,19,Days,,,,,,,,,39.14,,,milligram,fresh body mass,,,,,,
TRAMEA058,TRAIND058,TRATRA003,development,12,Days,,,,,,,,,,,,,,,,egg laying,adult hatching from the host pupae,,
TRAMEA059,TRAIND059,TRATRA003,development,14,Days,,,,,,,,,,,,,,,,egg laying,adult hatching from the host pupae,,
TRAMEA060,TRAIND060,TRATRA003,development,12,Days,,,,,,,,,,,,,,,,egg laying,adult hatching from the host pupae,,
TRAMEA061,TRAIND061,TRATRA012,development,61,Days,,,,,,,,,,,,,,,,,,,
TRAMEA062,TRAIND062,TRATRA012,development,58,Days,,,,,,,,,,,,,,,,,,,
TRAMEA063,TRAIND063,TRATRA012,development,62,Days,,,,,,,,,,,,,,,,,,,
TRAMEA064,TRAIND064,TRATRA003,development,59,Days,,,,,,,,,178,,,microgram,dry body mass,,,,,,
TRAMEA065,TRAIND065,TRATRA003,development,58,Days,,,,,,,,,95,,,microgram,dry body mass,,,,,,
TRAMEA066,TRAIND066,TRATRA003,development,62,Days,,,,,,,,,86,,,microgram,dry body mass,,,,,,
TRAMEA067,TRAIND067,TRATRA012,development,,,,,,,,,,,138,,,microgram,dry body mass,,,,,,
TRAMEA068,TRAIND068,TRATRA012,development,,,,,,,,,,,121,,,microgram,dry body mass,,,,,,
TRAMEA069,TRAIND069,TRATRA012,development,,,,,,,,,,,127,,,microgram,dry body mass,,,,,,
TRAMEA070,TRAIND070,TRATRA005,development,96,Days,,,,,,,,,,,,,,,,,,,
TRAMEA071,TRAIND071,TRATRA005,development,96,Days,,,,,,,,,,,,,,,,,,,
TRAMEA072,TRAIND072,TRATRA005,development,96,Days,,,,,,,,,,,,,,,,,,,
